,Station Intersection,Lat,Lng
322,Queen St W / Dovercourt Rd,43.6434786,-79.4223717
323,Seaton St / Dundas St E,43.6586458,-79.3694957
324,Church St / Alexander St,43.6636798,-79.3800945
325,Euclid Ave / Bloor St W,43.664332,-79.4148618
326,Sherbourne St / Wellesley St,43.6670726,-79.3746546
327,Dundonald St / Church St,43.6667003,-79.3813459
328,Bay St / College St (East Side),43.6609626,-79.3855794
329,Queen St W / Shaw St,43.6447019,-79.4162787
330,Boston Ave / Queen St E,43.6613414,-79.3387986
331,Simcoe St / Dundas St W,43.6546762,-79.3892019
332,Simcoe St / Wellington St W,43.6460702,-79.3855226
333,Strachan Ave / Princes' Blvd,43.634877,-79.4091215
334,Queen St W / Spadina Ave,43.648767,-79.3962577
335,Queen St E / George St (Moss Park),43.6539577,-79.372065
336,Beverly  St / Dundas St W,43.653814,-79.3938243
337,Dundas St W / Crawford St,43.6500648,-79.4170615
338,Bay St / Albert St,43.652962,-79.382633
339,King St W / Fraser Ave,43.6394623,-79.4248104
340,Queen St W / York St (City Hall),43.6534399,-79.3840901
341,424 Wellington St. W,43.6438342,-79.3966495
342,Madison Ave / Bloor St W,43.6669032,-79.4026884
343,Bloor St / Brunswick Ave,43.6659156,-79.4074539
344,Nelson St / Duncan St,43.6488016,-79.388923
345,Simcoe St / Queen St W,43.6506493,-79.3874351
346,Richmond St E / Jarvis St Green P,43.6531574,-79.3686431
347,Temperance St / Yonge St,43.6510529,-79.3786883
348,Bremner Blvd / Rees St,43.6408931,-79.3877424
349,King St W / Douro St,43.641106,-79.4166062
350,Front St E / Cherry St,43.6526324,-79.3580917
351,Bay St / St. Joseph St,43.6656458,-79.3876771
352,Bremner Blvd / Spadina Ave,43.6405619,-79.392866
353,King St W / Tecumseth St,43.6433939,-79.4052578
354,Augusta Ave / Denison Sq,43.6538727,-79.4017521
355,Dundas St E / Regent Park Blvd,43.6603557,-79.3618038
356,Queen St W / Gladstone Ave,43.6425333,-79.4271162
357,Wellington St W / Portland St,43.6430181,-79.3994801
358,Howard St / Sherbourne St,43.6712495,-79.3764212
359,Queen St E / Berkely St,43.655317,-79.3657508
360,Wellesley St E / Yonge St Green P,43.6689775,-79.3853383
361,Widmer St / Adelaide St ,43.6475685,-79.3915765
362,Bloor St W / Christie St,43.6635591,-79.4184063
363,College St W / Borden St,43.6552194,-79.4138604
364,Liberty St / Fraser Ave Green P,43.6416978,-79.4236547
365,Front St W / Blue Jays Way,43.6434252,-79.3912575
366,Gould St / Mutual St,43.658524,-79.3763397
367,Ted Rogers Way / Bloor St E,43.6716033,-79.3805398
368,Church St / Bloor St E,43.6710294,-79.3831411
369,Jarvis St / Dundas St E,43.6570799,-79.3745576
370,Bathurst St / Queens Quay W,43.6357028,-79.398422
371,Metro Hall Plaza,43.6460349,-79.3889609
372,College Park South,43.6595671,-79.3848314
373,Elizabeth St / Edward St (Bus Terminal),43.6560524,-79.3846762
374,Queens Quay / Yonge St,43.6419596,-79.3746697
375,King St E / River St,43.656868,-79.3561681
376,Trinity St /Front St E,43.6520867,-79.3603354
377,Ontario Place Blvd / Remembrance Dr,43.6312186,-79.4103392
378,Dockside Dr / Queens Quay E (Sugar Beach),43.6443346,-79.3678102
379,Exhibition GO (Atlantic Ave),43.6358793,-79.4187734
380,HTO Park (Queen's Quay W),43.6375849,-79.3884382
381,University Ave / College St,43.659884,-79.390349
382,Summerhill Station,43.6822899,-79.3907744
383,Parliament St / Bloor St E,43.6720333,-79.370728
384,Jarvis St / Carlton St,43.66242,-79.3767079
385,Augusta Ave / Dundas St W,43.6522676,-79.4011044
386,Queen St W / Ossington Ave,43.644171,-79.4188508
387,Castle Frank Station,43.6736049,-79.3688194
388,Cariboo St / Rail Path,43.6666942,-79.4583445
389,Hanna Ave / Liberty St,43.6385083,-79.4195451
390,Bay St / Bloor St W,43.6697157,-79.3894773
391,King St W / Bay St (East Side),43.648724,-79.379623
392,King St E / Jarvis St,43.6504548,-79.3718947
393,Riverdale Park North (Broadview Ave),43.6707898,-79.3561254
394,Beverly St / College St W,43.6587134,-79.3958657
395,College St W / Crawford St,43.6532372,-79.4182957
396,Queens Quay W / Dan Leckie Way,43.6366169,-79.3966766
397,Scott St / The Esplanade,43.6463115,-79.3752547
398,161 Bleecker St (South of Wellesley),43.666595,-79.373235
399,Phoebe St / Spadina Ave,43.6500757,-79.396782
400,University Ave / Elm St,43.656355,-79.388809
401,Niagara St / Tecumseth St,43.641387,-79.4044383
402,Chester Station,43.6782356,-79.3524545
403,Wellesley St / Queen's Park Cres,43.6636082,-79.3906297
404,Queens Park / Bloor St W,43.6687003,-79.3941264
405,Front St / Bay St (North Side),43.64613,-79.379295
406,Yonge St / Yorkville Ave,43.6719226,-79.3874532
407,College St W / Huron St,43.6552194,-79.4138604
408,Ulster St / Bathurst St,43.6598108,-79.409058
409,Danforth Ave / Ellerbeck St,43.676679,-79.356409
410,St George St / Bloor St W,43.6675177,-79.3998186
411,Sumach St / Carlton St. (Riverdale Farm),43.6671213,-79.3611251
412,Lower Jarvis St / The Esplanade,43.6482109,-79.3709183
413,York St / Queens Quay W,43.640073,-79.3801292
414,Parliament St / Gerrard St,43.6619478,-79.3670251
415,Kendal Ave / Spadina Rd,43.6703049,-79.4052872
416,Sherbourne St / Carlton St (Allan Gardens),43.6617429,-79.3747382
417,Gerrard St E / River St,43.6636944,-79.3592313
418,Riverdale Park South (Broadview Ave),43.6707898,-79.3561254
419,Roxton Rd / Harbord St,43.6587949,-79.4230682
420,Queen St W / Cowan Ave,43.6413253,-79.4331243
421,Jimmie Simpson Park (Queen St E),43.6612075,-79.3447934
422,Carlton St / Parliament St,43.6644661,-79.3680473
423,Palmerston Ave / Vermont Ave,43.6715996,-79.4163406
424,Salem Ave / Bloor St W,43.6606625,-79.4316443
425,St. George St / Hoskin Ave,43.66408,-79.398439
426,College St W / Major St,43.6620868,-79.4046407
427,Taddle Creek Park,43.6719982,-79.3988344
428,Willcocks St / St. George St,43.66208,-79.397606
429,Yarmouth Rd / Christie St,43.67002,-79.4209268
430,Wellington St W / Stafford St,43.6410063,-79.4102226
431,Ossington Ave / Bloor St W,43.6619827,-79.4256242
432,Yonge St / Harbour St,43.6432796,-79.3754993
433,Danforth Ave / Aldridge Ave,43.6847323,-79.3171844
434,King St W / Joe Shuster Way,43.6397139,-79.4235468
435,Danforth Ave / Gough Ave,43.6786924,-79.3461056
436,Donlands Station,43.6809818,-79.3378352
437,Central Tech  (Harbord St),43.6631181,-79.4089326
438,Queen St E / Sackville St,43.6562647,-79.361453
439,Fort York Blvd / Garrison Rd,43.638522,-79.4009854
440,Huron/ Harbord St,43.663502,-79.4000499
441,Front St / Yonge St (Hockey Hall of Fame),43.6472722,-79.3776902
442,Bridgeman Ave / Kendal Ave,43.6754816,-79.4098212
443,Wellington St W / Bay St,43.6473313,-79.3797062
444,Marlborough Ave / Yonge St,43.679879,-79.3907295
