,Station Intersection,Lat,Lng
541,Queen St W  /  Fuller Ave - SMART,,
542,King / Cowan Ave - SMART,,
543,Dundas St W / Roncesvalles Green P - SMART,,
544,Parkside Dr / Bloor St W - SMART,,
545,Howard Park Ave / Dundas St W - SMART,,
546,Sorauren/Geoffrey (Sorauren Park) - SMART,,
547,Wallace Ave / Symington Ave - SMART,,
548,Queen's Park Cres E / Grosvenor St - SMART,,
549,St. George St / Russell St - SMART,,
550,Tecumseth St / Queen St W - SMART,,
551,Baldwin Ave / Spadina Ave - SMART,,
552,Thompson St / Broadview Ave - SMART,,
553,Queen St E / Pape Ave - SMART,,
554,Dundas St E / Pembroke St - SMART,,
555,Bay St / College St (West Side) - SMART,,
556,Church St / Dundas St E - SMART,,
557,Gerrard St E / Broadview - SMART,,
558,111 Bond St (North of Dundas St E)  - SMART,,
559,Walton St / Elizabeth St - SMART,,
560,John St  / Mercer St - SMART,,
561,Rosehill Ave / Avoca Ave - SMART,,
562,Victoria Park Subway Station - SMART,,
563,Bay St / Charles St - SMART,,
564,Charles St E / Jarvis St - SMART,,
565,Charles St W / Balmuto St - SMART,,
566,Summerhill Ave / MacLennan Ave - SMART,,
567,Chorley Park - SMART,,
568,Wright / Sorauren (Sorauren Park) - SMART,,
569,Yonge St / Dundonald St - SMART,,
570,519 Church St - SMART,,
571,Borden St / Bloor St W - SMART,,
572,Yonge St / Alexander St - SMART,,
573,Wychwood Ave / Benson Ave - SMART,,
574,Adelaide St W / Bay St - SMART,,
575,Robert St / Bloor St W - SMART,,
576,York St / King St W - SMART,,
577,Stewart St / Bathurst St  - SMART,,
578,Bloor St E / Huntley St - SMART,,
579,Bloor St W / Shaw Ave - SMART,,
580,Spadina Ave / Harbord St - SMART,,
581,Dovercourt Rd / Harrison St - SMART,,
582,Vanauley St / Queen St W - SMART,,
583,Bloor St W / Manning Ave - SMART,,
584,Base Station,,
585,Fringe Next Stage - 7219,,
586,,,
