,Date,Time,temp,weather_main,rain_1h,rain_3h,rain_24h,rain_today
38822,2017-01-14,01:00:00,267.33,Snow,,,,
38823,2017-01-14,02:00:00,266.96,Snow,,,,
38824,2017-01-14,03:00:00,266.36,Snow,,,,
38825,2017-01-14,04:00:00,265.62,Clear,,,,
38826,2017-01-14,05:00:00,265.12,Clear,,,,
38827,2017-01-14,06:00:00,264.11,Clear,,,,
38828,2017-01-14,07:00:00,263.84,Clear,,,,
38829,2017-01-14,08:00:00,263.35,Clouds,,,,
38830,2017-01-14,09:00:00,263.11,Clouds,,,,
38831,2017-01-14,10:00:00,263.11,Clouds,,,,
38832,2017-01-14,11:00:00,263.1,Snow,,,,
38833,2017-01-14,12:00:00,263.24,Snow,,,,
38834,2017-01-14,13:00:00,264.36,Clouds,,,,
38835,2017-01-14,14:00:00,264.98,Clouds,,,,
38836,2017-01-14,15:00:00,265.37,Clouds,,,,
38837,2017-01-14,16:00:00,266.57,Clouds,,,,
38838,2017-01-14,17:00:00,267.36,Clouds,,,,
38839,2017-01-14,18:00:00,267.76,Clouds,,,,
38840,2017-01-14,19:00:00,268.36,Clouds,,,,
38841,2017-01-14,20:00:00,269.15,Clouds,,,,
38842,2017-01-14,21:00:00,269.55,Clouds,,,,
38843,2017-01-14,22:00:00,269.75,Clouds,,,,
38844,2017-01-14,23:00:00,269.55,Clouds,,,,
38845,2017-01-15,00:00:00,269.14,Clouds,,,,
38846,2017-01-15,01:00:00,268.53,Clear,,,,
38847,2017-01-15,02:00:00,267.92,Clear,,,,
38848,2017-01-15,03:00:00,267.3,Clear,,,,
38849,2017-01-15,04:00:00,267.08,Clouds,,,,
38850,2017-01-15,05:00:00,266.84,Clear,,,,
38851,2017-01-15,06:00:00,266.33,Clear,,,,
38852,2017-01-15,07:00:00,267.37,Clear,,,,
38853,2017-01-15,08:00:00,267.11,Clouds,,,,
38854,2017-01-15,09:00:00,267.36,Clear,,,,
38855,2017-01-15,10:00:00,267.88,Clouds,,,,
38856,2017-01-15,11:00:00,268.64,Clouds,,,,
38857,2017-01-15,12:00:00,268.12,Clouds,,,,
38858,2017-01-15,13:00:00,268.73,Clouds,,,,
38859,2017-01-15,14:00:00,269.15,Clouds,,,,
38860,2017-01-15,15:00:00,269.93,Clouds,,,,
38861,2017-01-15,16:00:00,271.15,Clouds,,,,
38862,2017-01-15,17:00:00,271.96,Clouds,,,,
